FC City,L3,Error_Description
FARIDABAD,Talcum Powders,Time Series Formed is very insignificant
FARIDABAD,Toilet Cleaners,Time Series Formed is very insignificant
FARIDABAD,Toor (Arhar) Dal,Time Series Formed is very insignificant
FARIDABAD,Toothbrushes,Time Series Formed is very insignificant
FARIDABAD,Toothpastes,Time Series Formed is very insignificant
FARIDABAD,Urad Dal,Time Series Formed is very insignificant
FARIDABAD,Vanaspati,Time Series Formed is very insignificant
FARIDABAD,Walnuts,Time Series Formed is very insignificant
FARIDABAD,Wheat Atta,Time Series Formed is very insignificant
FARIDABAD,Whole Spices,Time Series Formed is very insignificant
FARIDABAD,Wipes,Time Series Formed is very insignificant
GADAG-BETIGERI,Adult Health Drinks,Time Series Formed is very insignificant
GADAG-BETIGERI,Agarbatti & Dhoop,Time Series Formed is very insignificant
GADAG-BETIGERI,Air Fresheners,Time Series Formed is very insignificant
GADAG-BETIGERI,Almonds (Badam),Time Series Formed is very insignificant
GADAG-BETIGERI,Basmati Rice,Time Series Formed is very insignificant
GADAG-BETIGERI,Bathing Soaps,Time Series Formed is very insignificant
GADAG-BETIGERI,Battery,Time Series Formed is very insignificant
GADAG-BETIGERI,Besan & Sattu,Time Series Formed is very insignificant
GADAG-BETIGERI,Bleaches & Blues,Time Series Formed is very insignificant
GADAG-BETIGERI,Blended Masalas,Time Series Formed is very insignificant
GADAG-BETIGERI,"Broom, Mop & Wiper",Time Series Formed is very insignificant
GADAG-BETIGERI,Bulbs & LED,Time Series Formed is very insignificant
GADAG-BETIGERI,Buttermilk,Time Series Formed is very insignificant
GADAG-BETIGERI,"Cakes, Muffins & Rolls",Time Series Formed is very insignificant
GADAG-BETIGERI,Camphor,Time Series Formed is very insignificant
GADAG-BETIGERI,Candies & Toffees,Time Series Formed is very insignificant
GADAG-BETIGERI,Cashew Nuts,Time Series Formed is very insignificant
GADAG-BETIGERI,Children Health Drinks,Time Series Formed is very insignificant
GADAG-BETIGERI,Chips,Time Series Formed is very insignificant
GADAG-BETIGERI,Chocos & Flakes,Time Series Formed is very insignificant
GADAG-BETIGERI,Cleaning Brush & Utilities,Time Series Formed is very insignificant
GADAG-BETIGERI,Cold Drinks,Time Series Formed is very insignificant
GADAG-BETIGERI,Condensed Milk,Time Series Formed is very insignificant
GADAG-BETIGERI,Crafts Glues,Time Series Formed is very insignificant
GADAG-BETIGERI,Cream Biscuits & Wafers,Time Series Formed is very insignificant
GADAG-BETIGERI,Detergent Bars,Time Series Formed is very insignificant
GADAG-BETIGERI,Detergent Liquids,Time Series Formed is very insignificant
GADAG-BETIGERI,Detergent Powders,Time Series Formed is very insignificant
GADAG-BETIGERI,Dishwash Bars,Time Series Formed is very insignificant
GADAG-BETIGERI,Dishwash Liquids,Time Series Formed is very insignificant
GADAG-BETIGERI,Dishwash Powders,Time Series Formed is very insignificant
GADAG-BETIGERI,Dishwash Scrub Pads,Time Series Formed is very insignificant
GADAG-BETIGERI,Energy Drinks,Time Series Formed is very insignificant
GADAG-BETIGERI,Fabric Softeners,Time Series Formed is very insignificant
GADAG-BETIGERI,Face Cleansers & Toners,Time Series Formed is very insignificant
GADAG-BETIGERI,Face Creams & Moisturisers,Time Series Formed is very insignificant
GADAG-BETIGERI,Face Wash,Time Series Formed is very insignificant
GADAG-BETIGERI,First Aids,Time Series Formed is very insignificant
GADAG-BETIGERI,Flavoured Milk,Time Series Formed is very insignificant
GADAG-BETIGERI,Floor Cleaners,Time Series Formed is very insignificant
GADAG-BETIGERI,Glass Cleaners,Time Series Formed is very insignificant
GADAG-BETIGERI,Glucose & Milk Biscuits,Time Series Formed is very insignificant
GADAG-BETIGERI,Green Tea,Time Series Formed is very insignificant
GADAG-BETIGERI,Groundnut Oil,Time Series Formed is very insignificant
GADAG-BETIGERI,Hair Colors & Dyes,Time Series Formed is very insignificant
GADAG-BETIGERI,Hair Oils,Time Series Formed is very insignificant
GADAG-BETIGERI,Hand Wash,Time Series Formed is very insignificant
GADAG-BETIGERI,Honey,Time Series Formed is very insignificant
GADAG-BETIGERI,Indian Mithai,Time Series Formed is very insignificant
GADAG-BETIGERI,Insect Control,Time Series Formed is very insignificant
GADAG-BETIGERI,Instant Coffee,Time Series Formed is very insignificant
GADAG-BETIGERI,Jams & Preserves,Time Series Formed is very insignificant
GADAG-BETIGERI,Ketchups,Time Series Formed is very insignificant
GADAG-BETIGERI,Kolam Rice,Time Series Formed is very insignificant
GADAG-BETIGERI,Lamp & Lamp Oil,Time Series Formed is very insignificant
GADAG-BETIGERI,Lassi,Time Series Formed is very insignificant
GADAG-BETIGERI,Leaf Tea,Time Series Formed is very insignificant
GADAG-BETIGERI,Loose Salt & Sugar,Time Series Formed is very insignificant
GADAG-BETIGERI,Mango Drinks,Time Series Formed is very insignificant
GADAG-BETIGERI,Marie & Digestive Biscuits,Time Series Formed is very insignificant
